time,roller,tag,offset_before,offset_after,offset_delta,height_before,height_after,running,feed,gap_s,datierbar,quelle,source,campaign
1972-09-26 14:43:13,1,A56-HS01.ZO01,-260.9479064941406,-264.0758056640625,-3.127899169921875,-3.376264810562134,0.6719440221786499,False,0.0,1.0,True,1hz,1972-09-26.parquet,0
1972-09-26 14:43:13,2,A56-HS01.ZO02,-259.31597900390625,-263.25982666015625,-3.94384765625,-4.189096450805664,0.478424072265625,False,0.0,1.0,True,1hz,1972-09-26.parquet,0
1972-09-26 14:43:13,3,A56-HS01.ZO03,-246.015625,-249.87789916992188,-3.862274169921875,-4.177512168884277,0.6630396842956543,False,0.0,1.0,True,1hz,1972-09-26.parquet,0
1972-09-26 14:43:13,4,A56-HS01.ZO04,-245.9612274169922,-247.9467620849609,-1.98553466796875,-2.101909637451172,0.2719936668872833,False,0.0,1.0,True,1hz,1972-09-26.parquet,0
1972-11-09 08:33:07,1,A56-HS01.ZO01,-264.0758056640625,-267.66607666015625,-3.59027099609375,-3.531414031982422,-0.0129349501803517,False,0.0,1.0,True,1hz,1972-11-09.parquet,1
1972-11-09 08:33:07,2,A56-HS01.ZO02,-263.25982666015625,-264.45660400390625,-1.19677734375,-1.177157998085022,-0.2398861795663833,False,0.0,1.0,True,1hz,1972-11-09.parquet,1
1972-11-09 08:33:07,3,A56-HS01.ZO03,-249.87789916992188,-250.34027099609372,-0.462371826171875,-0.4547919631004333,-0.0107021648436784,False,0.0,1.0,True,1hz,1972-11-09.parquet,1
1972-11-09 08:33:07,4,A56-HS01.ZO04,-247.9467620849609,-250.63946533203125,-2.6927032470703125,-2.6485605239868164,-0.243008479475975,False,0.0,1.0,True,1hz,1972-11-09.parquet,1
1973-01-10 12:58:02,1,A56-HS01.ZO01,-267.66607666015625,-264.59259033203125,3.073486328125,3.023101329803467,0.0,False,0.0,1.0,True,1hz,1973-01-10.parquet,2
1973-01-10 12:58:02,2,A56-HS01.ZO02,-264.45660400390625,-266.4965209960937,-2.0399169921875,-2.006475687026977,0.0,False,0.0,1.0,True,1hz,1973-01-10.parquet,2
1973-01-10 12:58:02,3,A56-HS01.ZO03,-250.34027099609372,-245.36285400390625,4.9774169921875,4.897603988647461,0.001338020665571,False,0.0,1.0,True,1hz,1973-01-10.parquet,2
1973-01-10 12:58:02,4,A56-HS01.ZO04,-250.63946533203125,-248.40914916992188,2.230316162109375,2.18528413772583,-0.0196132976561784,False,0.0,1.0,True,1hz,1973-01-10.parquet,2
1973-02-15 11:39:36,1,A56-HS01.ZO01,-264.59259033203125,-266.9045104980469,-2.311920166015625,3.1698038578033447,-0.0329945050179958,False,0.0,1.0,True,1hz,1973-02-15.parquet,3
1973-02-15 11:39:36,2,A56-HS01.ZO02,-266.4965209960937,-270.1683959960937,-3.671875,1.5637181997299194,-0.0396873615682125,False,0.0,1.0,True,1hz,1973-02-15.parquet,3
1973-02-15 11:39:36,3,A56-HS01.ZO03,-245.36285400390625,-249.14352416992188,-3.780670166015625,4.029924392700195,-0.013818459585309,False,0.0,1.0,True,1hz,1973-02-15.parquet,3
1973-02-15 11:39:36,4,A56-HS01.ZO04,-248.40914916992188,-250.36746215820312,-1.95831298828125,5.111202716827393,-0.0236466210335493,False,0.0,1.0,True,1hz,1973-02-15.parquet,3
1973-03-22 11:59:57,1,A56-HS01.ZO01,-266.9045104980469,0.0,266.9045104980469,52.70379257202149,17.56792640686035,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 11:59:57,2,A56-HS01.ZO02,-270.1683959960937,0.0,270.1683959960937,52.570457458496094,17.523332595825195,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 11:59:57,3,A56-HS01.ZO03,-249.14352416992188,0.0,249.14352416992188,52.1455307006836,17.381101608276367,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 11:59:57,4,A56-HS01.ZO04,-250.36746215820312,0.0,250.36746215820312,51.87441253662109,17.291471481323242,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 12:00:38,1,A56-HS01.ZO01,0.0,-266.9045104980469,-266.9045104980469,17.567928314208984,53.58219146728516,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 12:00:38,2,A56-HS01.ZO02,0.0,-270.1683959960937,-270.1683959960937,17.523332595825195,53.4461784362793,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 12:00:38,3,A56-HS01.ZO03,0.0,-249.14352416992188,-249.14352416992188,17.38065528869629,53.01144409179688,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 12:00:38,4,A56-HS01.ZO04,0.0,-250.36746215820312,-250.36746215820312,17.29146957397461,52.73898696899414,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 13:33:50,1,A56-HS01.ZO01,-266.9045104980469,0.0,266.9045104980469,52.75727081298828,51.87798309326172,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 13:33:50,2,A56-HS01.ZO02,-270.1683959960937,0.0,270.1683959960937,52.16869354248047,51.29921340942383,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
1973-03-22 13:33:50,3,A56-HS01.ZO03,-249.14352416992188,0.0,249.14352416992188,52.16872024536133,51.29924392700195,False,0.0,1.0,True,1hz,1973-03-22.parquet,4
